,TP53 (M),PIK3CA (M),GATA3 (M),CDH1 (M),ESR1 (M),KMT2C (M),MAP3K1 (M),PTEN (M),ARID1A (M),AKT1 (M),Seeding
0,3.1384136338923456,1.1502678664084718,1.4199163668091563,1.7994080875068326,0.0016040355058959564,0.10462829155285398,0.4910642076086639,1.2864357611127908,-0.026401196590360953,0.7067933466411986,1.2421519585699938
1,0.012496277225234038,0.006540450559116029,0.086637110642237,0.00605175934523176,0.6421286603046094,0.024465868926731513,0.0032558200871324,0.007778222265990165,-0.0015412933689891548,-0.0025567773753086445,1.6990518310068086
2,0.4191212024284248,-0.4763170377911557,-2.3027335974197296,-2.0265006516299517,-2.0725310264527788,0.3740304892367395,-1.3546147390325087,1.1305225978024203,-0.8214031840819858,0.015196762129509487,-0.008850106378048037
3,0.0018791929338132004,0.7433695189465499,-0.2031869664721678,-0.7546889201506737,-0.026073917007741428,0.004135810057635649,1.0685068201005832,-0.03417301601116012,-0.17635868862631762,-2.169299310216419,-0.4253125962311337
4,-0.7332540986627566,0.0013627310462197922,-0.6445272372612485,-0.8778926206393275,0.9057676401685298,-0.3295922167724777,-0.1920791667987387,-0.1607669665246108,0.21814824237622035,0.11004475210197437,-0.21672973452650213
5,-0.3879195477988283,1.302050419252867,-0.5281220949156322,-1.1635669466518268,-0.019529662086238207,-0.524942894263974,-0.029041547830190088,-0.045996642764910015,0.027879767996374302,0.004611140107806499,-0.002662003396715894
6,-1.0078342999150502,-0.4814143491982349,0.1008929454049837,-0.001577237289789143,-2.953252484226702,-0.0025771647494030503,-0.08802669023186128,-0.04695450398998953,0.2082041952189974,-0.005781355895223169,3.115102792826445
7,-0.1774311750875417,-0.027874078584607276,-0.0007095880025339606,0.7758670707815124,-0.0032033585467133724,-1.5253566305866795,1.4208343730805535,-0.13784228349886776,0.010443474483657447,-0.014621733362327227,-0.04623748524379847
8,-0.9241754360592273,-0.1572906202253863,-0.6413499442922411,-0.005686171964742338,-0.07524811706311342,0.023158825030857463,-1.019830097592707,-0.06955891653033744,-0.4536592453521409,0.0008607833985291719,-0.024233670301562073
9,-0.21276813294628047,-0.20053593659021277,-1.4256252898631803,-0.01200786289072375,0.00022204446928208218,-0.029737617314116796,-0.0020269912482625023,-1.480267209438572,0.2609145893696603,-0.7499739774604948,-0.015227864218044184
10,0.04488191701114521,-0.04100620932227817,-0.06618186935167955,0.0018102969383889597,1.0697365530971361,-0.00807851238050938,-0.2732459033318647,0.0020886930469771877,-2.0371253326825665,-1.3727356224853224,0.00402983383012224
11,-0.24130436668221283,-2.005526500790983,-0.0004004218787396858,-0.008423815295572398,-0.0012109563464747452,-0.009860419934031663,-0.3889907336272344,-0.11542572802145928,-0.004212426419873685,-1.3900090159985437,-0.7259963221878019
12,2.886318273191185,0.1163343448401338,1.131554159141191,1.3204602923386144,0.026592639725047756,-0.1011828325133556,-0.04344569039884196,0.9870133711279606,0.5345039586542029,0.0941033779585892,-0.8273915029277736
